Segment ID,Station ID,Station Description,Start Date,Start Time,Start Depth,Submitting Entity,Collecting Entity,Monitoring Type,Parameter Name,Parameter Code,Value,RFA/Tag ID,Station Latitude,Station Longitude,Comments
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,2/23/09,12:30,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,593,B001786,29.166666,-103.554169,"BOD, Chlorophyll a, and Pheophytin a not reported out of HT."
2306,16730,RIO GRANDE VILLAGE BOAT RAMP,1/12/09,2:30,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,413,B001792,29.179388,-102.96003,"Equip. issue, didn't report DO.  Chlorophyll, pheophytin, and BOD not analyzed, expired HT. Too deep. Flow from BBNP daily report."
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,1/12/09,9:15,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,444,B001793,29.166666,-103.554169,"Flow from BBNP daily report.  DO not reported, equipment issues.  Chloro, Pheo and BOD not analyzed due to exceeding HT.  Ran DUP."
2306,16730,RIO GRANDE VILLAGE BOAT RAMP,2/23/09,3:30,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,482,B001794,29.179388,-102.96003,"No flow, too deep.  Estimated from Big Bend NP daily report.  BOD, Chloro, and Pheo not reported out of HT."
2306,13229,RIO GRANDE BELOW RIO CONCHOS ,1/13/09,10:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,INTERNATIONAL BOUNDARY & WATER COMMISSION,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,508,BP00256,29.51898,-104.28659,
2306,13229,RIO GRANDE BELOW RIO CONCHOS ,2/18/09,10:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,INTERNATIONAL BOUNDARY & WATER COMMISSION,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,592,BP00262,29.51898,-104.28659,
2306,13229,RIO GRANDE BELOW RIO CONCHOS ,3/18/09,10:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,INTERNATIONAL BOUNDARY & WATER COMMISSION,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,398,BP00265,29.51898,-104.28659,
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,9/30/09,1:30,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,267,1170535,29.166666,-103.554169,
2306,13225,RIO GRANDE AT FM 2627,9/30/09,10:00,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,132,1170532,29.447779,-102.825836,
2306,13223,RIO GRANDE AT FOSTER RANCH,5/27/09,1:30,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,156,1138962,29.780131,-101.757582,Changed data entry type to routine chemical measurements from LIMS
2306,13229,RIO GRANDE BELOW RIO CONCHOS ,9/29/09,2:30,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,319,1170530,29.51898,-104.28659,
2306,13229,RIO GRANDE BELOW RIO CONCHOS ,7/20/09,12:30,1,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,343,1157886,29.51898,-104.28659,
2306,16730,RIO GRANDE VILLAGE BOAT RAMP,6/22/09,9:45,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,36.6,B001809,29.179388,-102.96003,Water too high.  Flow from USGS website.
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,6/23/09,9:40,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,91,B001801,29.166666,-103.554169,Water too deep for flow.  Estimated flow from USGS website realtime gauge.  Dup taken.
